01|36096I||IL0|36096|36096IL079||LETICIA||||||AMAYA|||19640529|||FEMALE|||421001932|||Y|||1:18|||0000112897|||0000112897|||920728679|||001|||1225034|||10000981131212||||||||||||||||||508 WANITA AVE|845 ERIE ST|G||APT 3|G|BEL ALTON|OAK PARK|G|RI|IL|G|41487|603022091|G|17031|||R-IL001|||273-425-9002|||2|||36096IL079000201|||20140101|||20141231|||206.00|||20140101|||20141231|||0.00|||||||||368.00|||20140101|||20141231|||368.00|||20140101|||20141231|||Y|||7|275042712||999||0|0|1095A|20141022|1|20160805|2014|||||||||||||||||||||0|0||1225034
01|54631||NC0|11512|11512NC010||VEDA||||||HAIRSTON|||19630809|||FEMALE|||190002006|||Y|||1:18|||0000077811|||0000077811|||W1603643701|||W1603643701|||130130|||W1603643701||||||||||||||||||4 ELFORD PKWY|5311 THOMPSON MILL RD|G|10-1E||G|EUROPA|GRAHAM|G|VT|NC|G|13591|272539134|G|37001|||R-NC011|||336-270-4050|||2|||11512NC010003205|||20140101|||20141231|||291.00|||20140101|||20141231|||80.00|||20140101|||20141231|||366.00|||20140101|||20141231|||366.00|||20140101|||20141231|||Y|||7|270042571||999||0|0|1095A|20141016|1|20160805|2014|||||||||||||||||||||0|0||130130
01|33602T||TX0|33602|33602TX046||CLARA|||GBARNYAN|||RUSH|||19590909|||FEMALE|||064000394|||Y|||1:18|||0000255997|||0000255997|||923724535|||001|||13431|||12001297131204||||||||||||||||||794 CHERRYWOODS CT|8080 CREEKBEND DR|G|124|APT 1222|G|LAKE VALLEY|HOUSTON|G|UT|TX|G|29476|770711528|G|48029|||R-TX019|||904-589-4958|||2|||33602TX046000601|||20140101|||20141231|||281.00|||20140101|||20141231|||0.00|||||||||281.00|||20140101|||20141231|||281.00|||20140101|||20141231|||Y|||7|270322486||999||0|0|1095A|20141021|1|20160805|2014|||||||||||||||||||||0|0||13431
01|54771H||PA0|33709|33709PA042||LURA||||||WERNER|||19580203|||MALE|||034004595|||Y|||1:18|||0000026489|||0000026489|||||||||135518|||||||||||||||||||||8818 KEEPSAKE FWY||||||LEWISBURG|||MT|||55648|||42027|||R-PA006|||814-237-1583|||2|||33709PA042000505|||20140101|||20141231|20140228|G|255.00|||20140101|||20141231|||54.00|||20140101|||20141231|||329.00|||20140101|||20141231|||329.00|||20140101|||20141231|||N|||7|271314169||999||0|0|1095A|20131213|1|20160805|2014|||||||||||||||||||||0|0||135518
01|480952857||KS0|18558|18558KS036||SHAWANDA||||||BULLARD|||19630207|||FEMALE|||729008618|||Y|||1:18|||0001224857|||0001224857|||849106722|||849106722|||1419460|||XSE849106722||||||||||||||||||702 DOVE CREEK CYN|4743 SW 17TH TER|G|||G|HIGHLANDS RANCH|TOPEKA|G|OH|KS|G|96800|666043513|G|20177|||R-KS002|||785-845-9593|||1|||18558KS036002605|||20140201|||20141231|||213.00|||20140201|||20141231|||79.00|||20140201|||20141231|||411.00|||20140201|||20141231|||411.00|||20140201|||20141231|||Y|||7|275024990||999||0|0|1095A|20141018|1|20160806|2014|||||||||||||||||||||0|0||1419460
01|610647538||FL0|35783|35783FL116||ELIA||||||HANLEY|||19550905|||MALE|||309005975|||Y|||1:18|||0001220587|||0001220587|||H47568751 00|||H47568751 00|||1424690|||H47568751 00||||||||||||||||||619 HARMAN PLZ|20840 SAN SIMEON WAY|G||APT 609|G|RYE BROOK|MIAMI|G|AK|FL|G|24773|331791837|G|12086|||R-FL043|||305-751-9161|||2|||35783FL116000406|||20140101|||20141231|||1018.00|||20140101|||20141231|||181.00|||20140101|||20141231|||1068.00|||20140101|||20141231|||545.00|||20140101|||20141231|||Y|||7|267750383||999||0|0|1095A|20141021|1|20160805|2014|||||||||||||||||||||0|0||1424690
01|54631||NC0|11512|11512NC010||LAURETTE|||E|||GAGNON|||19670116|||MALE|||703008217|||Y|||1:18|||0001438854|||0001438854|||W1429593401|||W1429593401|||1437777|||W1429593401||||||||||||||||||107 SPARROW HAWK CIR|3966 VILLAGE PARK CT|G|||G|DEBARY|WINSTON SALEM|G|CA|NC|G|18169|271277467|G|37067|||R-NC006|||336-422-2249|||2|||11512NC010003205|||20140101|||20141231|||251.00|||20140101|||20141231|||80.00|||20140101|||20141231|||340.00|||20140101|||20141231|||340.00|||20140101|||20141231|||Y|||7|266817948||999||0|0|1095A|20141016|1|20160805|2014|||||||||||||||||||||0|0||1437777
01|592015694B||FL0|16842|16842FL007||JENNA||||||KOLB|||19871231|||MALE|||875008379|||Y|||1:18|||0000710002|||0000710002|||H41520050|||H4152005001|||1443879|||30689783||||||||||||||||||58118 REDBUTTECYN CV|1900 VINELAND LN|G|144||G|FERNAN LK VLG|TALLAHASSEE|G|ID|FL|G|30294|323177921|G|12073|||R-FL036|||603-716-6518|||2|||16842FL007010006|||20140201|||20141231|||215.00|||20140201|||20141231|||81.00|||20140201|||20141231|||251.00|||20140201|||20141231|||251.00|||20140201|||20141231|||Y|||7|269432785||999||0|0|1095A|20141018|1|20160806|2014|||||||||||||||||||||0|0||1443879
01|26539||TX0|26539|26539TX014||SABINA||||||STILES|||19580304|||MALE|||674007940|||Y|||1:18|||0000240980|||0000240980|||HIM0000505|||HIM000050500|||1447101|||HIM0000505||||||||||||||||||94819 EUGENIA WY|1504 S BONHAM ST|G|||G|INTERCESSION CITY|AMARILLO|G|PA|TX|G|53116|791022408|G|48375|||R-TX002|||806-342-4848|||1|||26539TX014000201|||20140201|||20141231|||257.00|||20140201|||20141231|||0.00|||||||||952.00|||20140201|||20141231|||800.00|||20140201|||20141231|||Y|||7|272444765||999||0|0|1095A|20141123|1|20160806|2014|||||||||||||||||||||0|0||1447101
01|592015694B||FL0|16842|16842FL007||BRITTENY|||W|||GREENWOOD|||19540630|||FEMALE|||053008377|||Y|||1:18|||0000467118|||0000467118|||H80840593|||H8084059301|||1517102|||30206697||||||||||||||||||35 ROSE COTTAGE WY|5302 SUNSET CANYON DR|G|A||G|ESLER|KISSIMMEE|G|DC|FL|G|36621|347581701|G|12097|||R-FL049|||407-201-8833|||2|||16842FL007010201|||20140101|||20140831|||490.00|||20140101|||20140831|||0.00|||||||||853.00|||20140101|||20140831|||853.00|||20140101|||20140831|||Y|||7|267614225||999||0|0|1095A|20141019|1|20160805|2014|||||||||||||||||||||0|0||1517102
